index,name,region,diet,selectedProteins,exclusions,status,engineQA,hardCount,warnCount,weirdCount,hard,warn,weird,days,targetDays,mainCounts,proteinTotals
11,Fresh v349 100-gen scenario 11 mode 10 UK,UK,vegetarian,eggs|tofu|lentils|beans|chickpeas|protein_powder,no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""beans"":3,""eggs"":3,""chickpeas"":2,""tofu"":3,""lentils"":3}","[95,84,97,86,102,84,103]"
12,Fresh v349 100-gen scenario 12 mode 11 CA,CA,vegetarian,tofu|lentils|beans|chickpeas|protein_powder,no_eggs|no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}","[83,99,90,89,103,90,89]"
13,Fresh v349 100-gen scenario 13 mode 12 SA,SA,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,117,103,101,100]"
14,Fresh v349 100-gen scenario 14 mode 13 US,US,omnivore,chicken|beef|fish|eggs|dairy,,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,81,87,86,82]"
15,Fresh v349 100-gen scenario 15 mode 14 AU,AU,omnivore,chicken|beef|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""beef"":4,""eggs"":3,""chicken"":4}","[112,114,101,114,114,92,114]"
16,Fresh v349 100-gen scenario 16 mode 15 UK,UK,omnivore,fish|beef|pork|eggs|dairy,,ALLOWED,CONDITIONAL PASS,0,2,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""pork"":2,""beef"":3,""eggs"":3,""fish"":3}","[91,103,100,96,101,107,95]"
17,Fresh v349 100-gen scenario 17 mode 16 CA,CA,omnivore,chicken|fish|dairy|protein_powder,no_eggs|no_red_meat,ALLOWED,CONDITIONAL PASS,0,9,0,,Day 3: fish snack repeats lunch/dinner protein. | Day 4: dairy snack repeats lunch/dinner protein. | Day 5: fish snack repeats lunch/dinner protein. | Day 5: protein estimate is high at approximately 123g. | Day 6: fish snack repeats lunch/dinner protein. | Day 7: dairy snack repeats lunch/dinner protein. | Day 3: protein high 119 | Day 5: protein high 123 | Day 6: protein high 120,,7,6,"{""fish"":6,""dairy"":3,""chicken"":5}","[104,92,119,106,123,120,109]"
18,Fresh v349 100-gen scenario 18 mode 17 SA,SA,omnivore,chicken|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""fish"":4,""eggs"":3,""chicken"":4}","[113,106,98,111,110,115,115]"
19,Fresh v349 100-gen scenario 19 mode 18 US,US,omnivore,chicken|beef|pork|fish|eggs|dairy,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":1,""beef"":2,""pork"":2,""eggs"":3,""chicken"":3,""fish"":3}","[104,106,110,98,112,99,113]"
20,Fresh v349 100-gen scenario 20 mode 19 AU,AU,omnivore,fish|chicken|beef|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,117,116,102,100]"
21,Fresh v349 100-gen scenario 21 mode 20 UK,UK,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":3,""fish"":4}","[102,111,111,110,104,102,107]"
22,Fresh v349 100-gen scenario 22 mode 21 CA,CA,omnivore,chicken|beef|fish|eggs|dairy,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,106,98,97,112,102,106]"
23,Fresh v349 100-gen scenario 23 mode 22 SA,SA,vegetarian,tofu|lentils|beans|chickpeas|protein_powder,no_eggs|no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}","[83,99,90,89,103,90,89]"
24,Fresh v349 100-gen scenario 24 mode 23 US,US,omnivore,chicken|beef|pork|fish|eggs|dairy,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""beef"":2,""pork"":2,""eggs"":2,""chicken"":3,""fish"":3}","[104,106,110,98,103,101,113]"
25,Fresh v349 100-gen scenario 25 mode 24 AU,AU,omnivore,chicken|beef|pork|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":1,""beef"":2,""pork"":2,""eggs"":3,""chicken"":3,""fish"":3}","[104,114,106,102,103,104,109]"
26,Fresh v349 100-gen scenario 26 mode 0 UK,UK,omnivore,chicken|beef|pork|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":1,""beef"":2,""pork"":2,""eggs"":3,""chicken"":3,""fish"":3}","[104,114,106,102,103,104,109]"
27,Fresh v349 100-gen scenario 27 mode 1 CA,CA,omnivore,beef|pork|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""pork"":3,""beef"":3,""eggs"":3,""fish"":3}","[113,103,109,99,109,109,93]"
28,Fresh v349 100-gen scenario 28 mode 2 SA,SA,omnivore,chicken|fish|eggs|dairy|protein_powder,no_red_meat,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""fish"":4,""eggs"":3,""chicken"":4}","[113,106,101,115,112,98,98]"
29,Fresh v349 100-gen scenario 29 mode 3 US,US,omnivore,chicken|beef|pork|eggs|dairy|protein_powder,no_fish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""pork"":2,""chicken"":3,""eggs"":3,""beef"":3}","[112,102,110,110,114,101,92]"
30,Fresh v349 100-gen scenario 30 mode 4 AU,AU,omnivore,chicken|beef|fish|dairy|protein_powder,no_eggs,ALLOWED,PASS,0,2,0,,Day 5: protein high 122 | Day 6: protein high 119,,7,6,"{""beef"":3,""dairy"":3,""chicken"":4,""fish"":4}","[104,105,108,106,122,119,106]"
31,Fresh v349 100-gen scenario 31 mode 5 UK,UK,omnivore,chicken|beef|fish|eggs|protein_powder,no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":3,""fish"":4}","[100,109,109,109,106,100,110]"
32,Fresh v349 100-gen scenario 32 mode 6 CA,CA,pescatarian,fish|eggs|dairy|protein_powder,,ALLOWED,CONDITIONAL PASS,0,3,0,,Day 3: dairy snack repeats lunch/dinner protein. | Day 5: eggs snack repeats lunch/dinner protein. | Day 6: dairy snack repeats lunch/dinner protein.,,7,7,"{""dairy"":4,""fish"":5,""eggs"":5}","[97,93,98,104,97,98,106]"
33,Fresh v349 100-gen scenario 33 mode 7 SA,SA,pescatarian,fish|eggs|dairy|protein_powder,,ALLOWED,CONDITIONAL PASS,0,4,0,,Day 3: dairy snack repeats lunch/dinner protein. | Day 4: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein. | Day 7: fish snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""fish"":7,""eggs"":4}","[97,93,111,100,106,112,113]"
34,Fresh v349 100-gen scenario 34 mode 8 US,US,vegetarian,eggs|dairy|tofu|lentils|beans|chickpeas,,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[84,81,88,75,93,78,86]"
35,Fresh v349 100-gen scenario 35 mode 9 AU,AU,vegetarian,dairy|tofu|lentils|beans|chickpeas|protein_powder,no_eggs,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""dairy"":2,""tofu"":3,""beans"":3,""lentils"":3}","[102,88,106,81,96,82,94]"
36,Fresh v349 100-gen scenario 36 mode 10 UK,UK,vegetarian,eggs|tofu|lentils|beans|chickpeas|protein_powder,no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""beans"":3,""eggs"":3,""chickpeas"":2,""tofu"":3,""lentils"":3}","[95,84,97,86,102,84,103]"
37,Fresh v349 100-gen scenario 37 mode 11 CA,CA,vegetarian,tofu|lentils|beans|chickpeas|protein_powder,no_eggs|no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}","[83,99,90,89,103,90,89]"
38,Fresh v349 100-gen scenario 38 mode 12 SA,SA,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,117,103,101,100]"
39,Fresh v349 100-gen scenario 39 mode 13 US,US,omnivore,chicken|beef|fish|eggs|dairy,,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,81,87,86,82]"
40,Fresh v349 100-gen scenario 40 mode 14 AU,AU,omnivore,chicken|beef|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""beef"":4,""eggs"":3,""chicken"":4}","[112,114,101,114,114,92,114]"
41,Fresh v349 100-gen scenario 41 mode 15 UK,UK,omnivore,fish|beef|pork|eggs|dairy,,ALLOWED,CONDITIONAL PASS,0,2,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""pork"":2,""beef"":3,""eggs"":3,""fish"":3}","[91,103,100,96,101,107,95]"
42,Fresh v349 100-gen scenario 42 mode 16 CA,CA,omnivore,chicken|fish|dairy|protein_powder,no_eggs|no_red_meat,ALLOWED,CONDITIONAL PASS,0,9,0,,Day 3: fish snack repeats lunch/dinner protein. | Day 4: dairy snack repeats lunch/dinner protein. | Day 5: fish snack repeats lunch/dinner protein. | Day 5: protein estimate is high at approximately 123g. | Day 6: fish snack repeats lunch/dinner protein. | Day 7: dairy snack repeats lunch/dinner protein. | Day 3: protein high 119 | Day 5: protein high 123 | Day 6: protein high 120,,7,6,"{""fish"":6,""dairy"":3,""chicken"":5}","[104,92,119,106,123,120,109]"
43,Fresh v349 100-gen scenario 43 mode 17 SA,SA,omnivore,chicken|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""fish"":4,""eggs"":3,""chicken"":4}","[113,106,98,111,110,115,115]"
44,Fresh v349 100-gen scenario 44 mode 18 US,US,omnivore,chicken|beef|pork|fish|eggs|dairy,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":1,""beef"":2,""pork"":2,""eggs"":3,""chicken"":3,""fish"":3}","[104,106,110,98,112,99,113]"
45,Fresh v349 100-gen scenario 45 mode 19 AU,AU,omnivore,fish|chicken|beef|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,117,116,102,100]"
46,Fresh v349 100-gen scenario 46 mode 20 UK,UK,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":3,""fish"":4}","[102,111,111,110,104,102,107]"
47,Fresh v349 100-gen scenario 47 mode 21 CA,CA,omnivore,chicken|beef|fish|eggs|dairy,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,106,98,97,112,102,106]"
48,Fresh v349 100-gen scenario 48 mode 22 SA,SA,vegetarian,tofu|lentils|beans|chickpeas|protein_powder,no_eggs|no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}","[83,99,90,89,103,90,89]"
49,Fresh v349 100-gen scenario 49 mode 23 US,US,omnivore,chicken|beef|pork|fish|eggs|dairy,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""beef"":2,""pork"":2,""eggs"":2,""chicken"":3,""fish"":3}","[104,106,110,98,103,101,113]"
50,Fresh v349 100-gen scenario 50 mode 24 AU,AU,omnivore,chicken|beef|pork|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":1,""beef"":2,""pork"":2,""eggs"":3,""chicken"":3,""fish"":3}","[104,114,106,102,103,104,109]"
51,Fresh v349 100-gen scenario 51 mode 0 UK,UK,omnivore,chicken|beef|pork|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":1,""beef"":2,""pork"":2,""eggs"":3,""chicken"":3,""fish"":3}","[104,114,106,102,103,104,109]"
52,Fresh v349 100-gen scenario 52 mode 1 CA,CA,omnivore,beef|pork|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""pork"":3,""beef"":3,""eggs"":3,""fish"":3}","[113,103,109,99,109,109,93]"
53,Fresh v349 100-gen scenario 53 mode 2 SA,SA,omnivore,chicken|fish|eggs|dairy|protein_powder,no_red_meat,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""fish"":4,""eggs"":3,""chicken"":4}","[113,106,101,115,112,98,98]"
54,Fresh v349 100-gen scenario 54 mode 3 US,US,omnivore,chicken|beef|pork|eggs|dairy|protein_powder,no_fish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""pork"":2,""chicken"":3,""eggs"":3,""beef"":3}","[112,102,110,110,114,101,92]"
55,Fresh v349 100-gen scenario 55 mode 4 AU,AU,omnivore,chicken|beef|fish|dairy|protein_powder,no_eggs,ALLOWED,PASS,0,2,0,,Day 5: protein high 122 | Day 6: protein high 119,,7,6,"{""beef"":3,""dairy"":3,""chicken"":4,""fish"":4}","[104,105,108,106,122,119,106]"
56,Fresh v349 100-gen scenario 56 mode 5 UK,UK,omnivore,chicken|beef|fish|eggs|protein_powder,no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":3,""fish"":4}","[100,109,109,109,106,100,110]"
57,Fresh v349 100-gen scenario 57 mode 6 CA,CA,pescatarian,fish|eggs|dairy|protein_powder,,ALLOWED,CONDITIONAL PASS,0,3,0,,Day 3: dairy snack repeats lunch/dinner protein. | Day 5: eggs snack repeats lunch/dinner protein. | Day 6: dairy snack repeats lunch/dinner protein.,,7,7,"{""dairy"":4,""fish"":5,""eggs"":5}","[97,93,98,104,97,98,106]"
58,Fresh v349 100-gen scenario 58 mode 7 SA,SA,pescatarian,fish|eggs|dairy|protein_powder,,ALLOWED,CONDITIONAL PASS,0,4,0,,Day 3: dairy snack repeats lunch/dinner protein. | Day 4: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein. | Day 7: fish snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""fish"":7,""eggs"":4}","[97,93,111,100,106,112,113]"
59,Fresh v349 100-gen scenario 59 mode 8 US,US,vegetarian,eggs|dairy|tofu|lentils|beans|chickpeas,,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[84,81,88,75,93,78,86]"
60,Fresh v349 100-gen scenario 60 mode 9 AU,AU,vegetarian,dairy|tofu|lentils|beans|chickpeas|protein_powder,no_eggs,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""dairy"":2,""tofu"":3,""beans"":3,""lentils"":3}","[102,88,106,81,96,82,94]"
61,Fresh v349 100-gen scenario 61 mode 10 UK,UK,vegetarian,eggs|tofu|lentils|beans|chickpeas|protein_powder,no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""beans"":3,""eggs"":3,""chickpeas"":2,""tofu"":3,""lentils"":3}","[95,84,97,86,102,84,103]"
62,Fresh v349 100-gen scenario 62 mode 11 CA,CA,vegetarian,tofu|lentils|beans|chickpeas|protein_powder,no_eggs|no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}","[83,99,90,89,103,90,89]"
63,Fresh v349 100-gen scenario 63 mode 12 SA,SA,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,117,103,101,100]"
64,Fresh v349 100-gen scenario 64 mode 13 US,US,omnivore,chicken|beef|fish|eggs|dairy,,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,81,87,86,82]"
65,Fresh v349 100-gen scenario 65 mode 14 AU,AU,omnivore,chicken|beef|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""beef"":4,""eggs"":3,""chicken"":4}","[112,114,101,114,114,92,114]"
66,Fresh v349 100-gen scenario 66 mode 15 UK,UK,omnivore,fish|beef|pork|eggs|dairy,,ALLOWED,CONDITIONAL PASS,0,2,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""pork"":2,""beef"":3,""eggs"":3,""fish"":3}","[91,103,100,96,101,107,95]"
67,Fresh v349 100-gen scenario 67 mode 16 CA,CA,omnivore,chicken|fish|dairy|protein_powder,no_eggs|no_red_meat,ALLOWED,CONDITIONAL PASS,0,9,0,,Day 3: fish snack repeats lunch/dinner protein. | Day 4: dairy snack repeats lunch/dinner protein. | Day 5: fish snack repeats lunch/dinner protein. | Day 5: protein estimate is high at approximately 123g. | Day 6: fish snack repeats lunch/dinner protein. | Day 7: dairy snack repeats lunch/dinner protein. | Day 3: protein high 119 | Day 5: protein high 123 | Day 6: protein high 120,,7,6,"{""fish"":6,""dairy"":3,""chicken"":5}","[104,92,119,106,123,120,109]"
68,Fresh v349 100-gen scenario 68 mode 17 SA,SA,omnivore,chicken|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""fish"":4,""eggs"":3,""chicken"":4}","[113,106,98,111,110,115,115]"
69,Fresh v349 100-gen scenario 69 mode 18 US,US,omnivore,chicken|beef|pork|fish|eggs|dairy,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":1,""beef"":2,""pork"":2,""eggs"":3,""chicken"":3,""fish"":3}","[104,106,110,98,112,99,113]"
70,Fresh v349 100-gen scenario 70 mode 19 AU,AU,omnivore,fish|chicken|beef|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,117,116,102,100]"
71,Fresh v349 100-gen scenario 71 mode 20 UK,UK,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":3,""fish"":4}","[102,111,111,110,104,102,107]"
72,Fresh v349 100-gen scenario 72 mode 21 CA,CA,omnivore,chicken|beef|fish|eggs|dairy,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,106,98,97,112,102,106]"
73,Fresh v349 100-gen scenario 73 mode 22 SA,SA,vegetarian,tofu|lentils|beans|chickpeas|protein_powder,no_eggs|no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}","[83,99,90,89,103,90,89]"
74,Fresh v349 100-gen scenario 74 mode 23 US,US,omnivore,chicken|beef|pork|fish|eggs|dairy,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""beef"":2,""pork"":2,""eggs"":2,""chicken"":3,""fish"":3}","[104,106,110,98,103,101,113]"
75,Fresh v349 100-gen scenario 75 mode 24 AU,AU,omnivore,chicken|beef|pork|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":1,""beef"":2,""pork"":2,""eggs"":3,""chicken"":3,""fish"":3}","[104,114,106,102,103,104,109]"
76,Fresh v349 100-gen scenario 76 mode 0 UK,UK,omnivore,chicken|beef|pork|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":1,""beef"":2,""pork"":2,""eggs"":3,""chicken"":3,""fish"":3}","[104,114,106,102,103,104,109]"
77,Fresh v349 100-gen scenario 77 mode 1 CA,CA,omnivore,beef|pork|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""pork"":3,""beef"":3,""eggs"":3,""fish"":3}","[113,103,109,99,109,109,93]"
78,Fresh v349 100-gen scenario 78 mode 2 SA,SA,omnivore,chicken|fish|eggs|dairy|protein_powder,no_red_meat,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""fish"":4,""eggs"":3,""chicken"":4}","[113,106,101,115,112,98,98]"
79,Fresh v349 100-gen scenario 79 mode 3 US,US,omnivore,chicken|beef|pork|eggs|dairy|protein_powder,no_fish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""pork"":2,""chicken"":3,""eggs"":3,""beef"":3}","[112,102,110,110,114,101,92]"
80,Fresh v349 100-gen scenario 80 mode 4 AU,AU,omnivore,chicken|beef|fish|dairy|protein_powder,no_eggs,ALLOWED,PASS,0,2,0,,Day 5: protein high 122 | Day 6: protein high 119,,7,6,"{""beef"":3,""dairy"":3,""chicken"":4,""fish"":4}","[104,105,108,106,122,119,106]"
81,Fresh v349 100-gen scenario 81 mode 5 UK,UK,omnivore,chicken|beef|fish|eggs|protein_powder,no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":3,""fish"":4}","[100,109,109,109,106,100,110]"
82,Fresh v349 100-gen scenario 82 mode 6 CA,CA,pescatarian,fish|eggs|dairy|protein_powder,,ALLOWED,CONDITIONAL PASS,0,3,0,,Day 3: dairy snack repeats lunch/dinner protein. | Day 5: eggs snack repeats lunch/dinner protein. | Day 6: dairy snack repeats lunch/dinner protein.,,7,7,"{""dairy"":4,""fish"":5,""eggs"":5}","[97,93,98,104,97,98,106]"
83,Fresh v349 100-gen scenario 83 mode 7 SA,SA,pescatarian,fish|eggs|dairy|protein_powder,,ALLOWED,CONDITIONAL PASS,0,4,0,,Day 3: dairy snack repeats lunch/dinner protein. | Day 4: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein. | Day 7: fish snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""fish"":7,""eggs"":4}","[97,93,111,100,106,112,113]"
84,Fresh v349 100-gen scenario 84 mode 8 US,US,vegetarian,eggs|dairy|tofu|lentils|beans|chickpeas,,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[84,81,88,75,93,78,86]"
85,Fresh v349 100-gen scenario 85 mode 9 AU,AU,vegetarian,dairy|tofu|lentils|beans|chickpeas|protein_powder,no_eggs,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""dairy"":2,""tofu"":3,""beans"":3,""lentils"":3}","[102,88,106,81,96,82,94]"
86,Fresh v349 100-gen scenario 86 mode 10 UK,UK,vegetarian,eggs|tofu|lentils|beans|chickpeas|protein_powder,no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""beans"":3,""eggs"":3,""chickpeas"":2,""tofu"":3,""lentils"":3}","[95,84,97,86,102,84,103]"
87,Fresh v349 100-gen scenario 87 mode 11 CA,CA,vegetarian,tofu|lentils|beans|chickpeas|protein_powder,no_eggs|no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}","[83,99,90,89,103,90,89]"
88,Fresh v349 100-gen scenario 88 mode 12 SA,SA,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,117,103,101,100]"
