index,name,region,diet,engineVersion,engineSource,status,engineQA,engineHardCount,engineWarnCount,extraHardCount,extraWarnCount,hard,warn,warningKeys,days,targetDays,mainCounts,proteinTotals
60,Gate scenario 60 CA mode 11,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}","[100,109,109,104,106,104,113]"
61,Gate scenario 61 US mode 12,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,106,98,102,112,99,102]"
62,Gate scenario 62 SA mode 13,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""eggs"":3}","[113,106,101,115,92,106,115]"
63,Gate scenario 63 UK mode 14,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
64,Gate scenario 64 AU mode 15,AU,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""eggs"":3,""lentils"":3,""chickpeas"":3,""beans"":3}","[94,80,90,91,82,96,90]"
65,Gate scenario 65 CA mode 0,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[95,108,105,113,116,109,98]"
66,Gate scenario 66 US mode 1,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[95,105,105,98,116,102,91]"
67,Gate scenario 67 SA mode 2,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
68,Gate scenario 68 UK mode 3,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[91,103,98,100,99,99,95]"
69,Gate scenario 69 AU mode 4,AU,pescatarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,1,0,2,,Day 6: eggs snack repeats lunch/dinner protein. | fish appears 5 times in narrow plan | eggs appears 5 times in narrow plan,narrow_fish_5|narrow_eggs_5,7,7,"{""dairy"":4,""fish"":5,""eggs"":5}","[97,104,88,104,101,93,106]"
70,Gate scenario 70 CA mode 5,CA,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,4,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[72,69,88,75,93,82,86]"
71,Gate scenario 71 US mode 6,US,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""tofu"":3,""chickpeas"":3,""beans"":3,""lentils"":3}","[101,92,104,91,96,82,104]"
72,Gate scenario 72 SA mode 7,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,86,87,86,82]"
73,Gate scenario 73 UK mode 8,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""eggs"":3}","[113,106,101,115,92,106,115]"
74,Gate scenario 74 AU mode 9,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,1,0,1,,Day 4: dairy snack repeats lunch/dinner protein. | pork appears often across lunch/dinner count 4,main_pork_often,7,7,"{""dairy"":3,""beef"":3,""eggs"":4,""pork"":4}","[99,101,102,114,92,105,97]"
75,Gate scenario 75 CA mode 10,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""beef"":3}","[106,116,110,117,115,113,117]"
76,Gate scenario 76 US mode 11,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}","[100,109,109,104,106,104,113]"
77,Gate scenario 77 SA mode 12,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,106,98,102,112,99,102]"
